source_name,url,category,genres,est_capacity,access_method,license_likely,robots_status,claude_agent_explicit,crawl_delay_seconds,priority_for_floor,notes
TurboSquid (weapons),https://www.turbosquid.com/3d-model/weapons,3d-model-library,"fantasy-rpg;sci-fi-canonical;historical-museum;modern-military;regional",20K-100K,https-crawl,proprietary,AMBER,unlisted,none,4,"42000+ weapon models. Per-asset purchase. No API. No bulk download. Useful for reference metadata only."
CGTrader (weapons),https://www.cgtrader.com/3d-models/weapon,3d-model-library,"fantasy-rpg;sci-fi-canonical;historical-museum;modern-military;regional",>100K,https-crawl,proprietary,AMBER,unlisted,none,4,"127000+ weapon models. Free tier available. No API. Per-asset download. Proprietary license."
itch.io (3D weapon packs),https://itch.io/game-assets/tag-3d/tag-weapons,3d-model-library,"fantasy-rpg;sci-fi-canonical;game-specific",5K-20K,https-crawl,CC0,AMBER,unlisted,none,3,"986 packs; estimated 5000-50000 individual models. CC0 packs exist. No bulk API. Per-creator license."
Poly Haven (weapons crossover),https://polyhaven.com/models,3d-model-library,"historical-academic",<100,static-download,CC0,GREEN,unlisted,none,5,"CC0 but no dedicated weapons category. <10 weapon-crossover items (knives as tools). Low yield."
GW2 official API weapons,https://api.guildwars2.com/v2/items,game-data-mmo,"game-specific;fantasy-rpg",1K-5K,rest-api,proprietary-but-redistributable,GREEN,unlisted,none,2,"Public API; no auth for public data. 10000+ total items; weapon subset filterable (19 weapon types in GW2). ArenaNet allows community access. wiki.guildwars2.com robots.txt: ClaudeBot not blocked."
Terraria wiki.gg (weapons),https://terraria.wiki.gg/wiki/List_of_weapons,game-data-other,"game-specific;fantasy-rpg",100-1K,https-crawl,CC-BY-SA,RED,blocked,none,5,"BLOCKED: ClaudeBot explicitly Disallow: / in robots.txt. 594-601 unique weapons. Cannot crawl."
Vampire Survivors wiki,https://vampire.survivors.wiki/w/Weapons,game-data-other,"game-specific;fantasy-rpg",<100,https-crawl,CC-BY-SA,RED,blocked,none,5,"BLOCKED: ClaudeBot explicitly Disallow: / in robots.txt. ~80 weapons. Cannot crawl."
Open5e GitHub (source data),https://github.com/open5e,fantasy-rpg-canonical,"fantasy-rpg",100-1K,git-clone,OGL,GREEN,unlisted,none,2,"GitHub org for open5e project. Source JSON data cloneable. OGL + CC content. Git-clone GREEN. Covers weapons beyond base 5e SRD."
Datafus (Dofus game data),https://github.com/bot4dofus/Datafus,game-data-mmo,"game-specific;fantasy-rpg",100-1K,git-clone,unknown,GREEN,unlisted,none,4,"59 stars. Dofus MMORPG database in JSON. Weapons/equipment included. GitHub = GREEN. French game; distinct fantasy-RPG weapon set."
Free Fire Items Database (GitHub),https://github.com/iamaanahmad/FreeFireItems,game-data-fps,"game-specific",1K-5K,git-clone,unknown,GREEN,unlisted,none,4,"5000+ Free Fire items including weapons. GitHub = GREEN. Mobile game (Garena Free Fire). JSON format."
MHWDB-API GitHub,https://github.com/LartTyler/MHWDB-API,game-data-monster-hunter-like,"game-specific;fantasy-rpg",1K-5K,git-clone,MIT,GREEN,unlisted,none,2,"Source code for mhw-db.com API. MIT license. Contains all MHW weapon data in structured DB. 1305 weapons known. GitHub = GREEN."
diablo2.io database,https://diablo2.io/database/,game-data-arpg,"game-specific;fantasy-rpg",100-1K,https-crawl,unknown,GREEN,unlisted,none,3,"Diablo 2 Resurrected item database (v3.1). All base items searchable/filterable. ClaudeBot not blocked (Scrapy blocked). No API but structured HTML. Estimated 200-500 weapon base types."
Wikipedia Lists of Weapons (index),https://en.wikipedia.org/wiki/Lists_of_weapons,bibliographic,"historical-academic;modern-military;fantasy-rpg;mythological",20K-100K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,1,"Master index of 100+ specialized weapon lists on Wikipedia. Covers all time periods, types, countries, manufacturers. Access via dumps. Already in Track A1 scope."
Wikidata (Wikidata weapon property graph),https://www.wikidata.org/wiki/Q728,historical-academic,"historical-academic;regional;mythological;fantasy-rpg;modern-military",20K-100K,sparql,CC0,GREEN,unlisted,none,1,"Root node Q728 for the entire Wikidata weapon taxonomy. 13134 instances confirmed. Also: JSON dump available for offline processing. CC0 metadata. Primary substrate for Track A1."
Swordis.com blog (Oakeshott typology),https://swordis.com/blog/oakeshott-typology/,community-editorial,"historical-academic",<100,https-crawl,proprietary,GREEN-with-caution,unlisted,none,5,"Blog post on Oakeshott typology. Low yield (13-24 type definitions). ClaudeBot not blocked on swordis.com robots.txt. Reference only."
dnd5eapi.co live API (full equipment),https://www.dnd5eapi.co/api/2014/equipment,fantasy-rpg-canonical,"fantasy-rpg",100-1K,rest-api,OGL,AMBER,unlisted,none,2,"237 total equipment items via live /api/2014/equipment endpoint. Weapons subset of 68 confirmed. No robots.txt (404). OGL. REST endpoint alive and free."
Fandom (pathofexile.fandom.com),https://pathofexile.fandom.com/,game-data-arpg,"game-specific;fantasy-rpg",1K-5K,https-crawl,CC-BY-SA,AMBER,unknown,none,4,"403 from Cloudflare on robots probe. AMBER. PoE wiki on Fandom. ClaudeBot status unknown. Alternative: poewiki.net is RED (explicit block). Fandom alt-path via api.php may work. Defer to Matt decision."
poewiki.net,https://www.poewiki.net/,game-data-arpg,"game-specific;fantasy-rpg",1K-5K,https-crawl,CC-BY-SA,RED,blocked,none,5,"BLOCKED: explicit ClaudeBot Disallow: / per evening robots verification. PoE independent wiki. Do not fetch."
Old School RuneScape wiki (oldschool.runescape.wiki),https://oldschool.runescape.wiki/,game-data-mmo,"game-specific;fantasy-rpg",1K-5K,https-crawl,CC-BY-SA,RED,blocked,none,5,"BLOCKED: explicit ClaudeBot Disallow: /. ~800 OSRS weapons inaccessible via crawl. Use osrsbox-db GitHub JSON instead."
Warcraft wiki.gg,https://warcraft.wiki.gg/,game-data-mmo,"game-specific;fantasy-rpg",5K-20K,https-crawl,CC-BY-SA,RED,blocked,none,5,"BLOCKED: explicit ClaudeBot Disallow: /. WoW weapon database inaccessible. Use wow-classic-items GitHub dataset instead."
Wowhead.com,https://www.wowhead.com/items/weapons,game-data-mmo,"game-specific;fantasy-rpg",5K-20K,https-crawl,proprietary,RED,blocked,none,5,"BLOCKED: ClaudeBot and anthropic-ai both Disallow: / in robots.txt. Wowhead database 65K+ WoW items. Use GitHub/Kaggle alternatives."
Smithsonian si.edu (site crawl),https://www.si.edu/,historical-museum,"historical-museum;historical-academic;regional",1K-5K,https-crawl,CC0,RED,blocked,none,5,"BLOCKED: ClaudeBot Disallow: / on si.edu site crawl. API path (api.si.edu) remains GREEN. Do not site-crawl."
Met Museum metmuseum.org (site crawl),https://www.metmuseum.org/,historical-museum,"historical-museum;historical-academic;regional",5K-20K,https-crawl,CC0,RED,blocked,none,5,"BLOCKED: ClaudeBot Disallow: / on metmuseum.org site crawl. API path (collectionapi.metmuseum.org) is GREEN (no robots.txt = 404 = no block). Use API not site crawl."
TVTropes.org,https://tvtropes.org/,community-editorial,"fantasy-rpg;sci-fi-canonical;mythological;game-specific",1K-5K,https-crawl,CC-BY-SA,AMBER,unknown,none,5,"429 rate-limit on robots probe = likely RED. Weapon tropes/catalogues exist but access uncertain. Low structured-data yield even if accessible."
dnd5esrd.com,https://dnd5esrd.com/,fantasy-rpg-canonical,"fantasy-rpg",100-1K,https-crawl,OGL,RED,unlisted,none,5,"DEAD: DNS/connection refused. Domain not resolving. Replaced by dnd5eapi.co and open5e.com."
5e.tools,https://5e.tools/,fantasy-rpg-community,"fantasy-rpg",100-1K,https-crawl,OGL,AMBER,unlisted,none,3,"404 on robots.txt. Republishes 5e SRD openly. Legal status ambiguous. ClaudeBot not explicitly blocked. Low priority vs dnd5eapi.co."
nexus-devs/wow-classic-items (GitHub),https://github.com/nexus-devs/wow-classic-items,game-data-mmo,"game-specific;fantasy-rpg",5K-20K,git-clone,MIT,GREEN,unlisted,none,2,"MIT license. JSON weapon data for WoW Vanilla/TBC/WotLK. Scraped from Wowhead + Blizzard API. High yield for WoW weapons. GitHub = GREEN."
spencerfrazier/wowitems (GitHub),https://github.com/spencerfrazier/wowitems,game-data-mmo,"game-specific;fantasy-rpg",5K-20K,git-clone,unknown,GREEN,unlisted,none,3,"JSON + CSV WoW item list from official API. GitHub = GREEN. No explicit license. WoW weapons subset."
Hades Fandom wiki,https://hades.fandom.com/wiki/Hades_Wiki,game-data-other,"game-specific;fantasy-rpg",<100,https-crawl,CC-BY-SA,AMBER,unknown,none,5,"Fandom-hosted. ClaudeBot status unknown (403 on Fandom probe). 6 base weapons + aspects. Tiny yield."
Interpol Firearms Reference Table,https://www.interpol.int/,historical-academic,"historical-academic;modern-military",5K-20K,other,proprietary,AMBER,unknown,none,4,"Shared among member countries; not publicly downloadable. Contains every firearm ever produced. Access requires law enforcement relationship. Low probability of open access."
Europeana OAI-PMH harvester,https://oai.europeana.eu/,historical-museum,"historical-museum;historical-academic;regional",5K-20K,rest-api,CC0,AMBER,unlisted,none,2,"OAI-PMH for bulk metadata harvest. Metadata CC0. API key (free) required. 403 on probe without key. Pan-European cultural heritage institutions. Weapon query would surface museum holdings across 30+ countries."
zelda-totk-weapon-data,https://github.com/jilink/zelda-totk-weapon-data,game-data-other,"game-specific;fantasy-rpg",<100,git-clone,unknown,GREEN,unlisted,none,4,"Zelda: Tears of the Kingdom weapon fusion data in CSV. GitHub = GREEN. No explicit license. Small but captures TOTK weapon fuse mechanics."
Lancer TTRPG weapon data (lancer-ktb-data),https://github.com/Eranziel/lancer-ktb-data,fantasy-rpg-canonical,"fantasy-rpg;sci-fi-canonical",<100,git-clone,CC-BY-SA,GREEN,unlisted,none,4,"Lancer TTRPG (sci-fi mech RPG) weapon data in JSON. CC-BY-SA. GitHub = GREEN. Sci-fi mech weapons — unique register."
Super Metroid JSON data (sm-json-data),https://github.com/vg-json-data/sm-json-data,game-data-other,"game-specific;sci-fi-canonical",<100,git-clone,CC-BY,GREEN,unlisted,none,5,"Super Metroid game data in JSON. items.json. CC-BY. GitHub = GREEN. Very small weapon count."
Back 4 Blood stats (b4bstats),https://github.com/Mazzzoni/b4bstats,game-data-fps,"game-specific;modern-military",<100,git-clone,unknown,GREEN,unlisted,none,4,"Back 4 Blood weapon stats in JSON. GitHub = GREEN. No license. Small modern firearms set."
Fextralife (multiple soulslike wikis combined),https://www.wiki.fextralife.com/,game-data-soulslike,"game-specific;fantasy-rpg",1K-5K,https-crawl,CC-BY-SA,GREEN-with-caution,unlisted,none,2,"Fextralife covers: Elden Ring (408 weapons), Dark Souls 1 (120), DS2 (220), DS3 (190), Bloodborne (25), Sekiro (limited), Armored Core 6, Lies of P, etc. Total Fextralife soulslike weapon coverage: ~1500+ weapons. ClaudeBot not blocked (GPTBot blocked). No crawl-delay in robots.txt. Conservative rate recommended."
MHW Rise + Sunbreak (kiranico),https://mhrise.kiranico.com/,game-data-monster-hunter-like,"game-specific;fantasy-rpg",1K-5K,https-crawl,proprietary,GREEN,unlisted,none,3,"robots.txt: Disallow empty = full open access. ClaudeBot not blocked. MHR:Sunbreak weapon tree. Page-by-page crawl required."
Diablo IV data (blizzhackers/d4data),https://github.com/blizzhackers/d4data,game-data-arpg,"game-specific;fantasy-rpg",100-1K,git-clone,unknown,GREEN,unlisted,none,3,"Development halted (per README). Links to successor repo. Some D4 item data in JSON. GitHub = GREEN. License unclear."
Mass Effect wiki (masseffect.fandom.com),https://masseffect.fandom.com/,sci-fi-canonical,"sci-fi-canonical",100-1K,https-crawl,CC-BY-SA,AMBER,unknown,none,4,"Fandom-hosted. ClaudeBot status unknown (403 on Fandom probe). Mass Effect weapons: ~300+ (across ME1-3 + Andromeda + Legendary). AMBER. Defer."
Cyberpunk wiki (cyberpunk.fandom.com),https://cyberpunk.fandom.com/,sci-fi-canonical,"sci-fi-canonical",100-1K,https-crawl,CC-BY-SA,AMBER,unknown,none,4,"Fandom-hosted. ClaudeBot status unknown. Cyberpunk 2077 weapons: ~200+. AMBER. Defer."
Halopedia weapon pages,https://www.halopedia.org/Weapons,sci-fi-canonical,"sci-fi-canonical",100-1K,https-crawl,CC-BY-SA,GREEN,unlisted,1,"1s crawl-delay. ClaudeBot not blocked. Halo weapons: UNSC (~80) + Covenant (~60) + Forerunner (~30) = ~170 weapons across all games. CC-BY-SA. Full crawl feasible with 1s delay."
Warhammer 40K Fandom (warhammer40k.fandom.com),https://warhammer40k.fandom.com/,sci-fi-canonical,"sci-fi-canonical",1K-5K,https-crawl,CC-BY-SA,AMBER,unknown,none,4,"Fandom-hosted. ClaudeBot status unknown (403). WH40K has massive weapon catalogue (1000+ named weapons across factions). AMBER. High yield if accessible."
Pathfinder 2e SRD (pf2.d20pfsrd.com),https://pf2.d20pfsrd.com/,fantasy-rpg-canonical,"fantasy-rpg",100-1K,https-crawl,OGL,GREEN,unlisted,0,"d20pfsrd.com robots.txt: ClaudeBot not blocked; crawl-delay: 0. PF2e SRD content. OGL. Pathfinder 2nd ed weapons."
Starfinder SRD,https://www.starjammersrd.com/,fantasy-rpg-canonical,"fantasy-rpg;sci-fi-canonical",100-1K,https-crawl,OGL,AMBER,unlisted,none,4,"Starfinder (sci-fi Pathfinder) SRD. OGL. Hundreds of sci-fi weapons. robots.txt not checked. AMBER."
Etsy/Pinterest/DeviantArt weapon references,https://www.pinterest.com/,image-library,"historical-academic;fantasy-rpg;regional",<100,https-crawl,proprietary,AMBER,unknown,none,5,"Image aggregators. Not structured weapon data. Low yield for knowledge DB. Skip."
SIPRI Arms Transfers Database,https://www.sipri.org/databases/armstransfers,historical-academic,"modern-military",100-1K,rest-api,CC-BY,GREEN,unlisted,none,5,"Stockholm International Peace Research Institute. Arms transfer data 1950-present. Transfer records not weapon catalogue per se. Low match to weapon-entry schema."
d20 Modern SRD weapons,https://www.d20srd.org/,fantasy-rpg-canonical,"fantasy-rpg;modern-military",100-1K,https-crawl,OGL,AMBER,unlisted,none,3,"D20 Modern SRD (WotC). Modern firearms + melee in OGL format. robots.txt not verified. Estimated 200-500 weapons including modern firearms."
Lore-Book.org (Elden Ring lore),https://www.lore-book.org/,game-data-soulslike,"game-specific;fantasy-rpg",100-1K,https-crawl,unknown,AMBER,unlisted,none,4,"Elden Ring lore database. Weapon descriptions/lore. Crawl status unverified. License unknown. AMBER."
Final Fantasy wikia (independent),https://finalfantasywiki.com/,fantasy-rpg-canonical,"game-specific;fantasy-rpg",1K-5K,https-crawl,CC-BY-SA,AMBER,unknown,none,3,"Independent FF wiki (not Fandom). CC-BY-SA. Weapons across all FF titles: estimated 2000+ unique weapons (FF1-16 combined). robots.txt not checked. AMBER. High yield if accessible."
Destiny 2 API (Bungie/api.github.io),https://bungie-net.github.io/,game-data-fps,"game-specific;sci-fi-canonical",1K-5K,rest-api,proprietary-but-redistributable,AMBER,unlisted,none,3,"API key required (free). Official Bungie API. Destiny 2 weapon manifest: 1000+ unique weapons across all seasons. robots.txt not directly checked for bungie.net."
Zaratan / tabletop-rpg data aggregators,https://github.com/Zireael07/awesome-tabletop-rpgs,bibliographic,"fantasy-rpg",1K-5K,other,CC-BY,GREEN,unlisted,none,4,"Curated list of 200+ free/open RPG systems. Pointer resource for finding other weapon data repos. Not a direct weapon source."
arXiv Weapon Typology papers,https://arxiv.org/,bibliographic,"historical-academic",<100,https-crawl,CC-BY,GREEN,unlisted,none,5,"Academic papers on weapon classification, typology, archaeology. Text extraction possible. Low direct weapon-entry yield but useful for taxonomy metadata."
Oakeshott Institute full typology,http://oakeshott.org/sword-typology/,historical-academic,"historical-academic",<100,https-crawl,proprietary,AMBER,unlisted,none,4,"Oakeshott Medieval Sword Typology (Types X-XXII with subtypes). Connection issues on robots probe. Small but academically authoritative. 24 primary types + subtypes = <50 entries."
Petersen Viking Sword Typology (reference),https://en.wikipedia.org/wiki/Petersen_typology,bibliographic,"historical-academic",<100,bulk-dump,CC-BY-SA,GREEN,unlisted,none,4,"Wikipedia article on Viking sword typology (26 types). Accessible via dumps. Small but anchors Scandinavian weapon taxonomy."
NRA National Firearms Museum (online collection),https://www.nrafoundation.org/nra-national-firearms-museum/,historical-museum,"historical-academic;modern-military",1K-5K,https-crawl,proprietary,AMBER,unlisted,none,4,"National Firearms Museum at NRA HQ. Online collection of historically significant firearms. robots.txt not checked. Estimated 1K-5K notable firearms with historical context. Strong American firearms coverage."
US Army Weapon Systems Handbook,https://asc.army.mil/web/weapon-systems/,modern-military,"modern-military;historical-academic",100-1K,static-download,public-domain,AMBER,unlisted,none,3,"US Army Acquisition Support Center publishes Weapon Systems Handbook (PDF) with factsheets on current US Army weapons. Public domain as US government work. Estimated 200-500 weapon system entries with specs. Also PDF edition downloadable."
ODIN Worldwide Equipment Guide (WEG),https://odin.tradoc.army.mil/How-To/WEG/Worldwide_Equipment_Guide,modern-military,"modern-military;historical-academic",1K-5K,https-crawl,public-domain,AMBER,unlisted,none,2,"US Army Training and Doctrine Command. World equipment guide covering global military weapons systems. Public domain US government. Large coverage of international small arms + crew-served weapons. robots.txt not checked. HIGH YIELD for modern-military genre."
Jane's Defence data (indirect access),https://janes.com/,modern-military,"modern-military;historical-academic",20K-100K,other,proprietary,AMBER,unknown,none,5,"Jane's (formerly Jane's Defence) is the authoritative military equipment reference. Subscription required (institutional). Not freely accessible. Noted for completeness. Alternative: use public-domain government sources above."
Nexus Mods (weapons category API),https://api-docs.nexusmods.com/,modding-database,"game-specific;fantasy-rpg;sci-fi-canonical;modern-military",20K-100K,rest-api,proprietary,RED,blocked,none,5,"Nexus Mods API exists (REST + GraphQL). However robots.txt: ClaudeBot explicitly Disallow: /. Cannot crawl the site. API requires APIKEY. Weapon mods exist for Skyrim/Fallout/Witcher/etc but not a clean weapon catalogue. RED for site crawl; API theoretically accessible with key but ClaudeBot-adjacent."
GameBanana weapon mods,https://gamebanana.com/,modding-database,"game-specific;fantasy-rpg;sci-fi-canonical;modern-military",5K-20K,https-crawl,unknown,AMBER,unlisted,none,5,"Game modding community. Weapon mods for CS:GO, TF2, Minecraft, etc. robots.txt not checked. No structured weapon data — mod files not a clean data source. Low priority for knowledge DB."
Mod DB (moddb.com),https://www.moddb.com/,modding-database,"game-specific;modern-military",5K-20K,https-crawl,unknown,AMBER,unlisted,none,5,"Game modification database. Weapon mods exist but highly unstructured. robots.txt not checked. Very low data quality for weapon-knowledge-entry purposes."
Treacherous Tower / SCP Foundation weapon entries,https://scp-wiki.wikidot.com/,sci-fi-community,"sci-fi-canonical;fantasy-rpg",100-1K,https-crawl,CC-BY-SA,AMBER,unlisted,none,5,"SCP Foundation community writing. Weapon SCPs (anomalous weapons) documented. CC-BY-SA. robots.txt not checked. Niche: anomalous/horror sci-fi weapons. Low structured data."
1d6chan / 2d4chan (tabletop wargame community),https://1d6chan.miraheze.org/,sci-fi-community,"sci-fi-canonical;fantasy-rpg",100-1K,https-crawl,CC-BY-SA,AMBER,unlisted,none,5,"Tabletop gaming community wiki. WH40K, AoS, and other wargame weapon lore. CC-BY-SA. robots.txt not checked. Low structured data; forum/wiki format."
HackMUD community weapon data,https://hackmud.com/,sci-fi-community,"sci-fi-canonical",<100,other,unknown,AMBER,unknown,none,5,"HackMUD (cyberpunk browser game). Very small weapon set. Low priority."
Wiktionary weapon etymologies,https://en.wiktionary.org/,etymology-linguistics,"historical-academic",5K-20K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,3,"Wiktionary has etymology entries for thousands of weapon names across all languages. Bulk XML dump available (dumps.wikimedia.org). Useful for etymology field in weapon_knowledge_entries. Not a structured weapon catalogue per se."
HEMA Resources (historicaleuropeanmartialarts.com),https://www.historicaleuropeanmartialarts.com/,community-editorial,"historical-academic",<100,https-crawl,proprietary,AMBER,unlisted,none,5,"80+ articles on HEMA. Low structured data. Articles rather than weapon database."
deliton Elden Ring API (GraphQL endpoint),https://eldenring.fanapis.com/api/weapons,game-data-soulslike,"game-specific;fantasy-rpg",100-1K,graphql,unknown,GREEN,unlisted,none,2,"Elden Ring Fan API (fanapis.com). GraphQL + REST. JSON weapon data. Used by community tools. Free access. No robots.txt blocking known."
Ancient Origins weapon articles,https://www.ancient-origins.net/,community-editorial,"historical-academic;mythological",100-1K,https-crawl,proprietary,AMBER,unlisted,none,5,"Cultural/archaeological history site. Weapon articles exist. robots.txt not checked. Low structured-data yield. AMBER."
Japanese sword classification (Token Bijutsu),https://www.token.co.jp/,community-editorial,"historical-academic;regional",<100,https-crawl,proprietary,AMBER,unlisted,none,5,"Japanese sword art association. Weapon classification reference. robots.txt not checked. Small yield."
Wikipedia Category:Japanese swords,https://en.wikipedia.org/wiki/Category:Japanese_swords,bibliographic,"historical-academic;regional",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,3,"Wikipedia subcategory of Weapons. Japanese sword types (katana, tachi, tanto, wakizashi, etc). Accessible via dumps. Estimated 100-200 entries."
Wikipedia Category:Indian weapons,https://en.wikipedia.org/wiki/Category:Indian_weapons,bibliographic,"historical-academic;regional",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,3,"Wikipedia subcategory. Indian subcontinent weapons (katar, tulwar, chakram, etc). Accessible via dumps."
Wikipedia Category:African weapons,https://en.wikipedia.org/wiki/Category:African_weapons,bibliographic,"historical-academic;regional",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,3,"Wikipedia subcategory. African weapons (assegai, rungu, panga, etc). Accessible via dumps."
Wikipedia Category:Chinese weapons,https://en.wikipedia.org/wiki/Category:Chinese_weapons,bibliographic,"historical-academic;regional",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,3,"Wikipedia subcategory. Chinese weapons (dao, jian, nunchaku, rope dart, etc). Accessible via dumps."
Wikipedia Category:Firearms,https://en.wikipedia.org/wiki/Category:Firearms,historical-academic,"modern-military;historical-academic",5K-20K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,1,"Large Wikipedia subcategory. Thousands of firearm articles by type/manufacturer/era. Accessible via dumps. HIGH PRIORITY for modern-military genre coverage."
Wikipedia Category:Mythological weapons,https://en.wikipedia.org/wiki/Category:Mythological_weapons,bibliographic,"mythological",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,2,"Wikipedia subcategory. Mythological weapons from all cultures. Accessible via dumps."
Wikipedia Category:Ancient weapons,https://en.wikipedia.org/wiki/Category:Ancient_weapons,bibliographic,"historical-academic",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,2,"13 subcategories + 65 pages. Accessible via dumps."
Wikipedia Category:Medieval weapons,https://en.wikipedia.org/wiki/Category:Medieval_weapons,bibliographic,"historical-academic",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,2,"Medieval weapons. Accessible via dumps. Highly relevant for fantasy-rpg genre mapping."
Wikipedia Category:Siege weapons,https://en.wikipedia.org/wiki/Category:Siege_weapons,bibliographic,"historical-academic",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,3,"Catapults, trebuchets, ballistae etc. Accessible via dumps."
Wikipedia Category:Ranged weapons,https://en.wikipedia.org/wiki/Category:Ranged_weapons,bibliographic,"historical-academic",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,2,"Bows, crossbows, slings, javelins etc. Accessible via dumps."
Wikipedia Category:Knives,https://en.wikipedia.org/wiki/Category:Knives,bibliographic,"historical-academic;regional",100-1K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,3,"Knife types from all cultures. Accessible via dumps."
Wikipedia Category:Swords,https://en.wikipedia.org/wiki/Category:Swords,bibliographic,"historical-academic;regional;fantasy-rpg",1K-5K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,1,"High-yield subcategory. Sword types from all cultures/eras. Accessible via dumps. ~500-1000 articles."
